date,var_95pct_250d
2022-01-24,0.021802620945372973
2022-01-25,0.021802620945372973
2022-01-26,0.02120178501560979
2022-01-27,0.02120178501560979
2022-01-28,0.02120178501560979
2022-01-31,0.02120178501560979
2022-02-01,0.02120178501560979
2022-02-02,0.02120178501560979
2022-02-03,0.021802620945372973
2022-02-04,0.021802620945372973
2022-02-07,0.021802620945372973
2022-02-08,0.021802620945372973
2022-02-09,0.021802620945372973
2022-02-10,0.021802620945372973
2022-02-11,0.022526326377065496
2022-02-14,0.022526326377065496
2022-02-15,0.022526326377065496
2022-02-16,0.022526326377065496
2022-02-17,0.023251435863218668
2022-02-18,0.023251435863218668
2022-02-22,0.022526326377065496
2022-02-23,0.023251435863218668
2022-02-24,0.023251435863218668
2022-02-25,0.023251435863218668
2022-02-28,0.023251435863218668
2022-03-01,0.023251435863218668
2022-03-02,0.023251435863218668
2022-03-03,0.022526326377065496
2022-03-04,0.022526326377065496
2022-03-07,0.02341297390165555
2022-03-08,0.02341297390165555
2022-03-09,0.02341297390165555
2022-03-10,0.02341297390165555
2022-03-11,0.02341297390165555
2022-03-14,0.02341297390165555
2022-03-15,0.022526326377065496
2022-03-16,0.022526326377065496
2022-03-17,0.022526326377065496
2022-03-18,0.022526326377065496
2022-03-21,0.022526326377065496
2022-03-22,0.022526326377065496
2022-03-23,0.022526326377065496
2022-03-24,0.022526326377065496
2022-03-25,0.022526326377065496
2022-03-28,0.022526326377065496
2022-03-29,0.022526326377065496
2022-03-30,0.022526326377065496
2022-03-31,0.022526326377065496
2022-04-01,0.022526326377065496
2022-04-04,0.022526326377065496
2022-04-05,0.022526326377065496
2022-04-06,0.022526326377065496
2022-04-07,0.022526326377065496
2022-04-08,0.022526326377065496
2022-04-11,0.02341297390165555
2022-04-12,0.02341297390165555
2022-04-13,0.02341297390165555
2022-04-14,0.02341297390165555
2022-04-18,0.02341297390165555
2022-04-19,0.02341297390165555
2022-04-20,0.02341297390165555
2022-04-21,0.02341297390165555
2022-04-22,0.02407337756499962
2022-04-25,0.02407337756499962
2022-04-26,0.025016397609948872
2022-04-27,0.025016397609948872
2022-04-28,0.025016397609948872
2022-04-29,0.025638582075488678
2022-05-02,0.025638582075488678
2022-05-03,0.025638582075488678
2022-05-04,0.025638582075488678
2022-05-05,0.025858869897445548
2022-05-06,0.025858869897445548
2022-05-09,0.026202815633501905
2022-05-10,0.026202815633501905
2022-05-11,0.026202815633501905
2022-05-12,0.026202815633501905
2022-05-13,0.026202815633501905
2022-05-16,0.026202815633501905
2022-05-17,0.026202815633501905
2022-05-18,0.026410280160594643
2022-05-19,0.026410280160594643
2022-05-20,0.026410280160594643
2022-05-23,0.026410280160594643
2022-05-24,0.026410280160594643
2022-05-25,0.026410280160594643
2022-05-26,0.026410280160594643
2022-05-27,0.026410280160594643
2022-05-31,0.026410280160594643
2022-06-01,0.026410280160594643
2022-06-02,0.026410280160594643
2022-06-03,0.026410280160594643
2022-06-06,0.026410280160594643
2022-06-07,0.026410280160594643
2022-06-08,0.026410280160594643
2022-06-09,0.026410280160594643
2022-06-10,0.02716814455965374
2022-06-13,0.028410686101536995
2022-06-14,0.028410686101536995
2022-06-15,0.028410686101536995
2022-06-16,0.029644412336331777
2022-06-17,0.029644412336331777
2022-06-21,0.029644412336331777
2022-06-22,0.029644412336331777
2022-06-23,0.029644412336331777
2022-06-24,0.029644412336331777
2022-06-27,0.029644412336331777
2022-06-28,0.029644412336331777
2022-06-29,0.029644412336331777
2022-06-30,0.029644412336331777
2022-07-01,0.029644412336331777
2022-07-05,0.029644412336331777
2022-07-06,0.029644412336331777
2022-07-07,0.029644412336331777
2022-07-08,0.029644412336331777
2022-07-11,0.029644412336331777
2022-07-12,0.029644412336331777
2022-07-13,0.029644412336331777
2022-07-14,0.029644412336331777
2022-07-15,0.029644412336331777
2022-07-18,0.029644412336331777
2022-07-19,0.029644412336331777
2022-07-20,0.029644412336331777
2022-07-21,0.029644412336331777
2022-07-22,0.029644412336331777
2022-07-25,0.029644412336331777
2022-07-26,0.029644412336331777
2022-07-27,0.029644412336331777
2022-07-28,0.029644412336331777
2022-07-29,0.029644412336331777
2022-08-01,0.029644412336331777
2022-08-02,0.029644412336331777
2022-08-03,0.029644412336331777
2022-08-04,0.029644412336331777
2022-08-05,0.029644412336331777
2022-08-08,0.029644412336331777
2022-08-09,0.029644412336331777
2022-08-10,0.029644412336331777
2022-08-11,0.029644412336331777
2022-08-12,0.029644412336331777
2022-08-15,0.029644412336331777
2022-08-16,0.029644412336331777
2022-08-17,0.029644412336331777
2022-08-18,0.029644412336331777
2022-08-19,0.029644412336331777
2022-08-22,0.029644412336331777
2022-08-23,0.029644412336331777
2022-08-24,0.029644412336331777
2022-08-25,0.029644412336331777
2022-08-26,0.0303356548169937
2022-08-29,0.0303356548169937
2022-08-30,0.0303356548169937
2022-08-31,0.0303356548169937
2022-09-01,0.0303356548169937
2022-09-02,0.0303356548169937
2022-09-06,0.0303356548169937
2022-09-07,0.0303356548169937
2022-09-08,0.0303356548169937
2022-09-09,0.0303356548169937
2022-09-12,0.0303356548169937
2022-09-13,0.031131400049619194
2022-09-14,0.031131400049619194
2022-09-15,0.031131400049619194
2022-09-16,0.031131400049619194
2022-09-19,0.031131400049619194
2022-09-20,0.031131400049619194
2022-09-21,0.031131400049619194
2022-09-22,0.031131400049619194
2022-09-23,0.031131400049619194
2022-09-26,0.031131400049619194
2022-09-27,0.031131400049619194
2022-09-28,0.031131400049619194
2022-09-29,0.031131400049619194
2022-09-30,0.031131400049619194
2022-10-03,0.031131400049619194
2022-10-04,0.031131400049619194
2022-10-05,0.031131400049619194
2022-10-06,0.031131400049619194
2022-10-07,0.03227560005730705
2022-10-10,0.03227560005730705
2022-10-11,0.03227560005730705
2022-10-12,0.03227560005730705
2022-10-13,0.03227560005730705
2022-10-14,0.03227560005730705
2022-10-17,0.03227560005730705
2022-10-18,0.03227560005730705
2022-10-19,0.03227560005730705
2022-10-20,0.03227560005730705
2022-10-21,0.03227560005730705
2022-10-24,0.03227560005730705
2022-10-25,0.03227560005730705
2022-10-26,0.03227560005730705
2022-10-27,0.03227560005730705
2022-10-28,0.03227560005730705
2022-10-31,0.03227560005730705
2022-11-01,0.03227560005730705
2022-11-02,0.03227560005730705
2022-11-03,0.03227560005730705
2022-11-04,0.03227560005730705
2022-11-07,0.03227560005730705
2022-11-08,0.03227560005730705
2022-11-09,0.032766450920673436
2022-11-10,0.032766450920673436
2022-11-11,0.032766450920673436
2022-11-14,0.032766450920673436
2022-11-15,0.032766450920673436
2022-11-16,0.032766450920673436
2022-11-17,0.032766450920673436
2022-11-18,0.032766450920673436
2022-11-21,0.032766450920673436
2022-11-22,0.032766450920673436
2022-11-23,0.032766450920673436
2022-11-25,0.032766450920673436
2022-11-28,0.032766450920673436
2022-11-29,0.032766450920673436
2022-11-30,0.032766450920673436
2022-12-01,0.032766450920673436
2022-12-02,0.032766450920673436
2022-12-05,0.032766450920673436
2022-12-06,0.032766450920673436
2022-12-07,0.032766450920673436
2022-12-08,0.032766450920673436
2022-12-09,0.032766450920673436
2022-12-12,0.032766450920673436
2022-12-13,0.032766450920673436
2022-12-14,0.032766450920673436
2022-12-15,0.032766450920673436
2022-12-16,0.032766450920673436
2022-12-19,0.032766450920673436
2022-12-20,0.032766450920673436
2022-12-21,0.032766450920673436
2022-12-22,0.032766450920673436
2022-12-23,0.032766450920673436
2022-12-27,0.032766450920673436
2022-12-28,0.032766450920673436
2022-12-29,0.032766450920673436
2022-12-30,0.032766450920673436
2023-01-03,0.032766450920673436
2023-01-04,0.032766450920673436
2023-01-05,0.032766450920673436
2023-01-06,0.032766450920673436
2023-01-09,0.032766450920673436
2023-01-10,0.032766450920673436
2023-01-11,0.032766450920673436
2023-01-12,0.032766450920673436
2023-01-13,0.032766450920673436
2023-01-17,0.032766450920673436
2023-01-18,0.032766450920673436
2023-01-19,0.032766450920673436
2023-01-20,0.032766450920673436
2023-01-23,0.032766450920673436
2023-01-24,0.032766450920673436
2023-01-25,0.032766450920673436
2023-01-26,0.032766450920673436
2023-01-27,0.032766450920673436
2023-01-30,0.032766450920673436
2023-01-31,0.032766450920673436
2023-02-01,0.032766450920673436
2023-02-02,0.03227560005730705
2023-02-03,0.03227560005730705
2023-02-06,0.03227560005730705
2023-02-07,0.03227560005730705
2023-02-08,0.03227560005730705
2023-02-09,0.03227560005730705
2023-02-10,0.03227560005730705
2023-02-13,0.03227560005730705
2023-02-14,0.03227560005730705
2023-02-15,0.03227560005730705
2023-02-16,0.031131400049619194
2023-02-17,0.031131400049619194
2023-02-21,0.031131400049619194
2023-02-22,0.031131400049619194
2023-02-23,0.031131400049619194
2023-02-24,0.031131400049619194
2023-02-27,0.031131400049619194
2023-02-28,0.031131400049619194
2023-03-01,0.031131400049619194
2023-03-02,0.031131400049619194
2023-03-03,0.031131400049619194
2023-03-06,0.02989201668431728
2023-03-07,0.02989201668431728
2023-03-08,0.02989201668431728
2023-03-09,0.02989201668431728
2023-03-10,0.02989201668431728
2023-03-13,0.02989201668431728
2023-03-14,0.02989201668431728
2023-03-15,0.02989201668431728
2023-03-16,0.02989201668431728
2023-03-17,0.02989201668431728
2023-03-20,0.02989201668431728
2023-03-21,0.02989201668431728
2023-03-22,0.02989201668431728
2023-03-23,0.02989201668431728
2023-03-24,0.02989201668431728
2023-03-27,0.02989201668431728
2023-03-28,0.02989201668431728
2023-03-29,0.02989201668431728
2023-03-30,0.02989201668431728
2023-03-31,0.02989201668431728
2023-04-03,0.02989201668431728
2023-04-04,0.02989201668431728
2023-04-05,0.02989201668431728
2023-04-06,0.02989201668431728
2023-04-10,0.02989201668431728
2023-04-11,0.02745319423896872
2023-04-12,0.02745319423896872
2023-04-13,0.02745319423896872
2023-04-14,0.02745319423896872
2023-04-17,0.02745319423896872
2023-04-18,0.02745319423896872
2023-04-19,0.02745319423896872
2023-04-20,0.02745319423896872
2023-04-21,0.02745319423896872
2023-04-24,0.02745319423896872
2023-04-25,0.027126673462988846
2023-04-26,0.027126673462988846
2023-04-27,0.027126673462988846
2023-04-28,0.026815883264445475
2023-05-01,0.026815883264445475
2023-05-02,0.026815883264445475
2023-05-03,0.026815883264445475
2023-05-04,0.02614675665431556
2023-05-05,0.02614675665431556
2023-05-08,0.02540541780014413
2023-05-09,0.02540541780014413
2023-05-10,0.02540541780014413
2023-05-11,0.02540541780014413
2023-05-12,0.02540541780014413
2023-05-15,0.02540541780014413
2023-05-16,0.02540541780014413
2023-05-17,0.02496858714054201
2023-05-18,0.02496858714054201
2023-05-19,0.02496858714054201
2023-05-22,0.02496858714054201
2023-05-23,0.02496858714054201
2023-05-24,0.02496858714054201
2023-05-25,0.02496858714054201
2023-05-26,0.02496858714054201
2023-05-30,0.02496858714054201
2023-05-31,0.02496858714054201
2023-06-01,0.02496858714054201
2023-06-02,0.02496858714054201
2023-06-05,0.02496858714054201
2023-06-06,0.02496858714054201
2023-06-07,0.02496858714054201
2023-06-08,0.02473053883824008
2023-06-09,0.023696775830176535
2023-06-12,0.022038588745455244
2023-06-13,0.022038588745455244
2023-06-14,0.022038588745455244
2023-06-15,0.02089554711398929
2023-06-16,0.02089554711398929
2023-06-20,0.02089554711398929
2023-06-21,0.02089554711398929
2023-06-22,0.02089554711398929
2023-06-23,0.02089554711398929
2023-06-26,0.02089554711398929
2023-06-27,0.02089554711398929
2023-06-28,0.02089554711398929
2023-06-29,0.02089554711398929
2023-06-30,0.02089554711398929
2023-07-03,0.02089554711398929
2023-07-05,0.02089554711398929
2023-07-06,0.02089554711398929
2023-07-07,0.02089554711398929
2023-07-10,0.02072995955279879
2023-07-11,0.02072995955279879
2023-07-12,0.02072995955279879
2023-07-13,0.02072995955279879
2023-07-14,0.02072995955279879
2023-07-17,0.02072995955279879
2023-07-18,0.02072995955279879
2023-07-19,0.02072995955279879
2023-07-20,0.02072995955279879
2023-07-21,0.02072995955279879
2023-07-24,0.02072995955279879
2023-07-25,0.02072995955279879
2023-07-26,0.02072995955279879
2023-07-27,0.02072995955279879
2023-07-28,0.02072995955279879
2023-07-31,0.02072995955279879
2023-08-01,0.02072995955279879
2023-08-02,0.02089554711398929
2023-08-03,0.02089554711398929
2023-08-04,0.02089554711398929
2023-08-07,0.02089554711398929
2023-08-08,0.02089554711398929
2023-08-09,0.02089554711398929
2023-08-10,0.02089554711398929
2023-08-11,0.02089554711398929
2023-08-14,0.02089554711398929
2023-08-15,0.02089554711398929
2023-08-16,0.02089554711398929
2023-08-17,0.02089554711398929
2023-08-18,0.02089554711398929
2023-08-21,0.020890185261750283
2023-08-22,0.020890185261750283
2023-08-23,0.020890185261750283
2023-08-24,0.020890185261750283
2023-08-25,0.020662623985805834
2023-08-28,0.020662623985805834
2023-08-29,0.020662623985805834
2023-08-30,0.020662623985805834
2023-08-31,0.020662623985805834
2023-09-01,0.020662623985805834
2023-09-05,0.020662623985805834
2023-09-06,0.020662623985805834
2023-09-07,0.020662623985805834
2023-09-08,0.020662623985805834
2023-09-11,0.020662623985805834
2023-09-12,0.020522394828603317
2023-09-13,0.020522394828603317
2023-09-14,0.020522394828603317
2023-09-15,0.020522394828603317
2023-09-18,0.020522394828603317
2023-09-19,0.020522394828603317
2023-09-20,0.020522394828603317
2023-09-21,0.020522394828603317
2023-09-22,0.020249186922713495
2023-09-25,0.020249186922713495
2023-09-26,0.020249186922713495
2023-09-27,0.020249186922713495
2023-09-28,0.01990979148603192
2023-09-29,0.01990979148603192
2023-10-02,0.01990979148603192
2023-10-03,0.01990979148603192
2023-10-04,0.01990979148603192
2023-10-05,0.01990979148603192
2023-10-06,0.019740654053374832
2023-10-09,0.019740654053374832
2023-10-10,0.019740654053374832
2023-10-11,0.019740654053374832
2023-10-12,0.019740654053374832
2023-10-13,0.019215835336681798
2023-10-16,0.019215835336681798
2023-10-17,0.019215835336681798
2023-10-18,0.019215835336681798
2023-10-19,0.019215835336681798
2023-10-20,0.019215835336681798
2023-10-23,0.019215835336681798
2023-10-24,0.019215835336681798
2023-10-25,0.019215835336681798
2023-10-26,0.019740654053374832
2023-10-27,0.019740654053374832
2023-10-30,0.019740654053374832
2023-10-31,0.019740654053374832
2023-11-01,0.019215835336681798
2023-11-02,0.019215835336681798
2023-11-03,0.019215835336681798
2023-11-06,0.019215835336681798
2023-11-07,0.019215835336681798
2023-11-08,0.018548395387076644
2023-11-09,0.018548395387076644
2023-11-10,0.018548395387076644
2023-11-13,0.018548395387076644
2023-11-14,0.018548395387076644
2023-11-15,0.018548395387076644
2023-11-16,0.018548395387076644
2023-11-17,0.018548395387076644
2023-11-20,0.018548395387076644
2023-11-21,0.018548395387076644
2023-11-22,0.018548395387076644
2023-11-24,0.018548395387076644
2023-11-27,0.01805900194756431
2023-11-28,0.01805900194756431
2023-11-29,0.01805900194756431
2023-11-30,0.01805900194756431
2023-12-01,0.01805900194756431
2023-12-04,0.01748137603784584
2023-12-05,0.017290151450421638
2023-12-06,0.017290151450421638
2023-12-07,0.017290151450421638
2023-12-08,0.017290151450421638
2023-12-11,0.017290151450421638
2023-12-12,0.017290151450421638
2023-12-13,0.017290151450421638
2023-12-14,0.01708776854897224
2023-12-15,0.01708776854897224
2023-12-18,0.01708776854897224
2023-12-19,0.01708776854897224
2023-12-20,0.01708776854897224
2023-12-21,0.016856501715259677
2023-12-22,0.016856501715259677
2023-12-26,0.016856501715259677
2023-12-27,0.016856501715259677
2023-12-28,0.016856501715259677
2023-12-29,0.016856501715259677
2024-01-02,0.016620069728223694
2024-01-03,0.016620069728223694
2024-01-04,0.016620069728223694
2024-01-05,0.016620069728223694
2024-01-08,0.016620069728223694
2024-01-09,0.016620069728223694
2024-01-10,0.016620069728223694
2024-01-11,0.016620069728223694
2024-01-12,0.016620069728223694
2024-01-16,0.016620069728223694
2024-01-17,0.01618831252319803
2024-01-18,0.01618831252319803
2024-01-19,0.01618831252319803
2024-01-22,0.01618831252319803
2024-01-23,0.01618831252319803
2024-01-24,0.01618831252319803
2024-01-25,0.01618831252319803
2024-01-26,0.01618831252319803
2024-01-29,0.01583697958465721
2024-01-30,0.01583697958465721
2024-01-31,0.01618831252319803
2024-02-01,0.01618831252319803
2024-02-02,0.01618831252319803
2024-02-05,0.01618831252319803
2024-02-06,0.01618831252319803
2024-02-07,0.01618831252319803
2024-02-08,0.01618831252319803
2024-02-09,0.01618831252319803
2024-02-12,0.01618831252319803
2024-02-13,0.01618831252319803
2024-02-14,0.01618831252319803
2024-02-15,0.01583697958465721
2024-02-16,0.01583697958465721
2024-02-20,0.015716099606590043
2024-02-21,0.015716099606590043
2024-02-22,0.015716099606590043
2024-02-23,0.015716099606590043
2024-02-26,0.015716099606590043
2024-02-27,0.015716099606590043
2024-02-28,0.015716099606590043
2024-02-29,0.015716099606590043
2024-03-01,0.015716099606590043
2024-03-04,0.015716099606590043
2024-03-05,0.015596388008974215
2024-03-06,0.015596388008974215
2024-03-07,0.015481637180759974
2024-03-08,0.015596388008974215
2024-03-11,0.015596388008974215
2024-03-12,0.015596388008974215
2024-03-13,0.015596388008974215
2024-03-14,0.015596388008974215
2024-03-15,0.015596388008974215
2024-03-18,0.015596388008974215
2024-03-19,0.015596388008974215
2024-03-20,0.015596388008974215
2024-03-21,0.015596388008974215
2024-03-22,0.015596388008974215
2024-03-25,0.015596388008974215
2024-03-26,0.015596388008974215
2024-03-27,0.015596388008974215
2024-03-28,0.015596388008974215
2024-04-01,0.015596388008974215
2024-04-02,0.015596388008974215
2024-04-03,0.015596388008974215
2024-04-04,0.015596388008974215
2024-04-05,0.015596388008974215
2024-04-08,0.015596388008974215
2024-04-09,0.015596388008974215
2024-04-10,0.015596388008974215
2024-04-11,0.015596388008974215
2024-04-12,0.015716099606590043
2024-04-15,0.01612979800977274
2024-04-16,0.01612979800977274
2024-04-17,0.01612979800977274
2024-04-18,0.01612979800977274
2024-04-19,0.016579695252500797
2024-04-22,0.016579695252500797
2024-04-23,0.01612979800977274
2024-04-24,0.01612979800977274
2024-04-25,0.01612979800977274
2024-04-26,0.01612979800977274
2024-04-29,0.01612979800977274
2024-04-30,0.01612979800977274
2024-05-01,0.01612979800977274
2024-05-02,0.01612979800977274
2024-05-03,0.01612979800977274
2024-05-06,0.01612979800977274
2024-05-07,0.01612979800977274
2024-05-08,0.01612979800977274
2024-05-09,0.01612979800977274
2024-05-10,0.01612979800977274
2024-05-13,0.01612979800977274
2024-05-14,0.01612979800977274
2024-05-15,0.01612979800977274
2024-05-16,0.01612979800977274
2024-05-17,0.01612979800977274
2024-05-20,0.01612979800977274
2024-05-21,0.01612979800977274
2024-05-22,0.01612979800977274
2024-05-23,0.01612979800977274
2024-05-24,0.01612979800977274
2024-05-28,0.01612979800977274
2024-05-29,0.01612979800977274
2024-05-30,0.016579695252500797
2024-05-31,0.016579695252500797
2024-06-03,0.016579695252500797
2024-06-04,0.016579695252500797
2024-06-05,0.016579695252500797
2024-06-06,0.016579695252500797
2024-06-07,0.016579695252500797
2024-06-10,0.016579695252500797
2024-06-11,0.016579695252500797
2024-06-12,0.016579695252500797
2024-06-13,0.016579695252500797
2024-06-14,0.016579695252500797
2024-06-17,0.016579695252500797
2024-06-18,0.016579695252500797
2024-06-20,0.016579695252500797
2024-06-21,0.016579695252500797
2024-06-24,0.0167442730155511
2024-06-25,0.0167442730155511
2024-06-26,0.0167442730155511
2024-06-27,0.0167442730155511
2024-06-28,0.0167442730155511
2024-07-01,0.0167442730155511
2024-07-02,0.0167442730155511
2024-07-03,0.0167442730155511
2024-07-05,0.0167442730155511
2024-07-08,0.0167442730155511
2024-07-09,0.0167442730155511
2024-07-10,0.0167442730155511
2024-07-11,0.017226229822405594
2024-07-12,0.017226229822405594
2024-07-15,0.017226229822405594
2024-07-16,0.017226229822405594
2024-07-17,0.01762449424121732
2024-07-18,0.017226229822405594
2024-07-19,0.017226229822405594
2024-07-22,0.017226229822405594
2024-07-23,0.017226229822405594
2024-07-24,0.01762449424121732
2024-07-25,0.01762449424121732
2024-07-26,0.01762449424121732
2024-07-29,0.01762449424121732
2024-07-30,0.01800915529956886
2024-07-31,0.01762449424121732
2024-08-01,0.01800915529956886
2024-08-02,0.01800915529956886
2024-08-05,0.018564472386672404
2024-08-06,0.018564472386672404
2024-08-07,0.018564472386672404
2024-08-08,0.018564472386672404
2024-08-09,0.018564472386672404
2024-08-12,0.018564472386672404
2024-08-13,0.018564472386672404
2024-08-14,0.018564472386672404
2024-08-15,0.018564472386672404
2024-08-16,0.018564472386672404
2024-08-19,0.018564472386672404
2024-08-20,0.018564472386672404
2024-08-21,0.018564472386672404
2024-08-22,0.01862656809660609
2024-08-23,0.01862656809660609
2024-08-26,0.01862656809660609
2024-08-27,0.01862656809660609
2024-08-28,0.01862656809660609
2024-08-29,0.01918693743713588
2024-08-30,0.01918693743713588
2024-09-03,0.01991887066854949
2024-09-04,0.01991887066854949
2024-09-05,0.01991887066854949
2024-09-06,0.020460711349137715
2024-09-09,0.020460711349137715
2024-09-10,0.020460711349137715
2024-09-11,0.020460711349137715
2024-09-12,0.020460711349137715
2024-09-13,0.020460711349137715
2024-09-16,0.020460711349137715
2024-09-17,0.020460711349137715
2024-09-18,0.020460711349137715
2024-09-19,0.020460711349137715
2024-09-20,0.020460711349137715
2024-09-23,0.020460711349137715
2024-09-24,0.020460711349137715
2024-09-25,0.020460711349137715
2024-09-26,0.020460711349137715
2024-09-27,0.020460711349137715
2024-09-30,0.020460711349137715
2024-10-01,0.020460711349137715
2024-10-02,0.020460711349137715
2024-10-03,0.020460711349137715
2024-10-04,0.020460711349137715
2024-10-07,0.020460711349137715
2024-10-08,0.020460711349137715
2024-10-09,0.020460711349137715
2024-10-10,0.020460711349137715
2024-10-11,0.020460711349137715
2024-10-14,0.020460711349137715
2024-10-15,0.021185810603647583
2024-10-16,0.021185810603647583
2024-10-17,0.021185810603647583
2024-10-18,0.021185810603647583
2024-10-21,0.021185810603647583
2024-10-22,0.021185810603647583
2024-10-23,0.020460711349137715
2024-10-24,0.01991887066854949
2024-10-25,0.01991887066854949
2024-10-28,0.01991887066854949
2024-10-29,0.01991887066854949
2024-10-30,0.01991887066854949
2024-10-31,0.020460711349137715
2024-11-01,0.020460711349137715
2024-11-04,0.020460711349137715
2024-11-05,0.020460711349137715
2024-11-06,0.020460711349137715
2024-11-07,0.020460711349137715
2024-11-08,0.020460711349137715
2024-11-11,0.020460711349137715
2024-11-12,0.020460711349137715
2024-11-13,0.020460711349137715
2024-11-14,0.020460711349137715
2024-11-15,0.020495389210518716
2024-11-18,0.020495389210518716
2024-11-19,0.020495389210518716
2024-11-20,0.020495389210518716
2024-11-21,0.020495389210518716
2024-11-22,0.020495389210518716
2024-11-25,0.020495389210518716
2024-11-26,0.020495389210518716
2024-11-27,0.020495389210518716
2024-11-29,0.020495389210518716
2024-12-02,0.020495389210518716
2024-12-03,0.020495389210518716
2024-12-04,0.020495389210518716
2024-12-05,0.020495389210518716
2024-12-06,0.020495389210518716
2024-12-09,0.020495389210518716
2024-12-10,0.020495389210518716
2024-12-11,0.020495389210518716
2024-12-12,0.020495389210518716
2024-12-13,0.020495389210518716
2024-12-16,0.020495389210518716
2024-12-17,0.020495389210518716
2024-12-18,0.021185810603647583
2024-12-19,0.021185810603647583
