date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-01-04,125.74087524414062,207.9561004638672,13.060794830322266,109.00051879882812,33.466636657714844,159.3314971923828,266.598876953125,85.54792785644531,243.2566680908203,317.84674072265625
2021-01-05,127.29544067382812,208.1567230224609,13.350873947143556,109.5936508178711,35.0794792175293,160.92550659179688,268.6111145019531,86.2378158569336,245.0366668701172,313.5724182128906
2021-01-06,123.01051330566406,202.75938415527344,12.563801765441896,114.73970794677734,35.97461700439453,156.91900634765625,261.0178527832031,85.38685607910156,251.9933319091797,326.7319641113281
2021-01-07,127.20802307128906,208.5292816162109,13.290369987487791,118.5076675415039,36.256866455078125,158.10800170898438,266.40057373046875,87.9372329711914,272.0133361816406,331.9702453613281
2021-01-08,128.30601501464844,209.7998046875,13.223389625549316,118.63848876953124,36.66006851196289,159.13499450683594,265.2408142089844,89.10142517089844,293.3399963378906,330.4788513183594
2021-01-11,125.32303619384766,207.7650604248047,13.566752433776855,120.40910339355467,37.77294921875,155.7104949951172,254.60418701171875,87.04267883300781,270.39666748046875,328.077880859375
2021-01-12,125.14813995361328,205.31954956054688,13.43055248260498,122.30177307128906,38.611629486083984,156.04150390625,248.9042053222656,86.10796356201172,283.14666748046875,325.0040283203125
2021-01-13,127.17888641357422,206.66647338867188,13.477364540100098,122.41514587402344,39.04709243774414,158.29449462890625,249.44943237304688,86.59465026855469,284.8033447265625,322.8850402832031
2021-01-14,125.25502014160156,203.49496459960935,13.147194862365724,123.13036346435548,40.57124328613281,156.37350463867188,243.50167846679688,85.78532409667969,281.6666564941406,318.7834777832031
2021-01-15,123.53521728515624,203.1414794921875,12.807815551757812,120.92369842529295,38.61969757080078,155.21249389648438,249.171875,85.62176513671875,275.3866577148437,319.4837646484375
2021-01-19,124.20565032958984,206.7620391845703,12.972901344299316,120.40035247802734,39.38579940795898,156.03799438476562,258.8271179199219,88.43929290771484,281.51666259765625,320.293212890625
2021-01-20,128.2865753173828,214.30877685546875,13.31203269958496,118.59487915039062,39.94222640991211,163.16900634765625,265.1515808105469,93.17727661132812,283.4833374023437,319.0653991699219
2021-01-21,132.98934936523438,214.9105682373047,13.811766624450684,117.60054779052734,38.79710388183594,165.34950256347656,270.49462890625,93.37947082519533,281.663330078125,322.8487243652344
2021-01-22,135.1269989013672,215.8467712402344,13.657387733459473,116.69344329833984,38.24873733520508,164.6114959716797,272.1104431152344,93.79629516601562,282.2133178710937,316.0733642578125
2021-01-25,138.86781311035156,219.2666931152344,13.598377227783203,115.2368392944336,37.821327209472656,164.6999969482422,275.5899353027344,93.88153839111328,293.6000061035156,316.30987548828125
2021-01-26,139.10098266601562,221.94151306152344,13.381254196166992,114.76586151123048,36.99070739746094,166.30650329589844,279.5946960449219,94.55902099609376,294.36334228515625,312.0355529785156
2021-01-27,138.03216552734375,222.4860382080078,12.865832328796388,111.521240234375,36.57136917114258,161.62899780273438,269.77099609375,90.14763641357422,288.0533447265625,302.83209228515625
2021-01-28,133.20306396484375,228.2463836669922,12.99854564666748,113.48371124267578,37.1439323425293,161.88099670410156,262.6931457519531,91.84558868408205,278.4766540527344,307.5247802734375
2021-01-29,128.21853637695312,221.58804321289065,12.937541961669922,112.22770690917967,36.16009140014648,160.30999755859375,256.0812072753906,90.56494140625,264.510009765625,303.3685913085937
2021-02-01,130.33676147460938,228.9341735839844,13.183798789978027,113.05630493164062,36.224609375,167.1439971923828,259.7291259765625,93.82156372070312,279.9366760253906,303.7506408691406
2021-02-02,131.16262817382812,228.8004302978516,13.502264976501465,116.53645324707033,36.797176361083984,169.0,264.75506591796875,95.11261749267578,290.92999267578125,308.0431213378906
2021-02-03,130.14242553710938,232.13438415527344,13.47612190246582,117.87095642089844,38.24066925048828,165.62649536132812,264.3287353515625,102.0391845703125,284.89666748046875,307.28826904296875
2021-02-04,133.49461364746094,231.1886749267578,13.609333992004396,120.58349609375,38.97451400756836,166.5500030517578,264.1701354980469,101.77901458740234,283.3299865722656,299.4944152832031
2021-02-05,133.0810089111328,231.37017822265625,13.536373138427734,120.34800720214844,40.28092956542969,167.6074981689453,265.7662048339844,103.5235366821289,284.07666015625,295.1201171875
2021-02-08,133.22698974609375,231.6280975341797,14.380719184875488,122.23202514648438,42.014739990234375,166.14700317382812,264.2593994140625,103.30992889404295,287.8066711425781,294.9654541015625
